"Name","Latitude","Longitude","Elevation","X","Y","Z"
"SAVU00FIN","67.9608","28.9558","265.0850","2100286.7560","1162091.4175","5889701.0339"
"FFMJ00DEU","50.0906","8.6650","178.2727","4053455.7000","617729.9000","4869395.9000"
"BRMG00DEU","47.9077","7.6329","261.6047","4245557.1000","568958.1000","4710200.0000"
"CTAB00CZE","49.4098","14.6802","496.2422","4022510.2970","1053801.6085","4820712.2188"
"VAAS00FIN","62.9612","21.7706","58.0537","2699864.6372","1078263.8254","5658064.6709"
"OBE400DEU","48.0848","11.2779","650.5652","4186704.4300","834903.5830","4723664.8570"
"GOR200DEU","53.0497","11.3496","61.7258","3767159.9000","756145.2000","5073920.1000"
"TUO200FIN","60.4158","22.4433","59.3315","2917813.2791","1205216.1639","5523548.7317"
"CMEL00ITA","43.9580","8.1701","267.6987","4552236.6068","653558.9976","4404916.1231"
"PASA00ESP","43.3218","-1.9315","67.3838","4644909.4308","-156645.6090","4353622.6674"
"ARIS00GBR","56.9096","-5.8495","61.3243","3472288.7109","-355730.7475","5320461.0060"
"ORIV00FIN","61.6163","24.2117","155.7425","2772556.5811","1246719.2413","5588449.2320"
"NYA200NOR","78.9303","11.8586","81.4751","1202379.3100","252474.6543","6237786.5417"
"MAH100IRL","53.3263","-9.9008","79.6618","3760811.3618","-656417.5530","5092375.9818"
"TUBI00TUR","40.7867","29.4507","221.8379","4211318.5222","2377865.7588","4144664.4557"
"TERU00ESP","40.3505","-1.1243","956.1741","4867391.6750","-95523.9180","4108341.2560"
"OSK600SWE","57.0657","15.9969","150.1906","3341336.3626","957914.5626","5330005.7016"
"MALL00ESP","39.5526","2.6246","62.0461","4919369.6850","225499.5840","4039849.5920"
"LDB200DEU","52.2091","14.1209","159.4898","3798344.7000","955553.3000","5017221.9000"
"KRAW00POL","50.0661","19.9205","264.4306","3856933.4783","1397750.4819","4867718.0353"
"ASGA00CYP","34.7860","33.2488","242.2953","4385720.7776","2875270.2525","3618529.3504"
"TREU00ITA","46.0674","11.1446","388.6095","4349598.7257","856875.9047","4570727.8989"
"FRA200UKR","48.9179","24.7103","302.3590","3814979.6107","1755525.6253","4784794.7137"
"BFST00GBR","54.6485","-6.0063","389.0030","3678499.5548","-387036.5477","5179157.3269"
"SPT000SWE","57.7150","12.8913","219.9217","3328984.8157","761910.0669","5369033.4806"
